City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Houma,US,84.97,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
3,Poplar Bluff,US,76.78,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
6,Fortuna,US,81.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
10,Opelousas,US,80.49,clear sky,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
11,Hilo,US,76.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Hamilton,US,76.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
18,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Springville,US,78.67,haze,40.1652,-111.6107,Best Western Mountain View Inn
25,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
31,Glendive,US,80.22,broken clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
33,East Millcreek,US,78.08,haze,40.7,-111.8105,Hampton Inn & Suites Salt Lake City/University-Foothill Dr.
34,Lincoln,US,85.28,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
39,Invermere,CA,77.63,overcast clouds,50.5167,-116.0354,Copper Point Resort
40,North Bend,US,78.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
42,Meridian,US,83.32,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
49,Lompoc,US,77.77,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
51,Batesville,US,79.21,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
55,Mayo,US,80.91,clear sky,38.8876,-76.5119,Resorts Resource Group International
56,Rolla,US,79.21,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
64,North Myrtle Beach,US,82.02,few clouds,33.816,-78.68,Avista Resort
65,Mattoon,US,76.62,clear sky,39.4831,-88.3728,"Holiday Inn Express & Suites Mattoon, an IHG Hotel"
68,Sevierville,US,77.52,clear sky,35.8681,-83.5618,The Lodge at Five Oaks
74,Isla Vista,US,83.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
77,Havelock,US,78.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
90,Washington,US,77.95,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
91,Maple Creek,CA,77.5,overcast clouds,49.9168,-109.4848,Willowbend Campground & Cabins
96,Elko,US,77.74,clear sky,41.0002,-115.5012,
99,Galveston,US,84.94,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
100,Dickinson,US,84.29,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
102,Tallahassee,US,80.62,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
103,Outlook,CA,83.8,scattered clouds,51.5001,-107.0513,Red Wheel Motel
105,Polson,US,78.28,broken clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
