City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Palmer,US,42.1584,-72.3287,74.01,73,20,5.75,few clouds
1,Houma,US,29.5958,-90.7195,84.97,81,22,5.12,few clouds
2,Roberval,CA,48.5168,-72.2324,72.23,59,100,12.64,overcast clouds
3,Poplar Bluff,US,36.757,-90.3929,76.78,73,1,4.61,clear sky
4,Prince Rupert,CA,54.3161,-130.3201,60.89,82,90,6.91,light rain
5,Barrow,US,71.2906,-156.7887,39.22,87,90,12.66,overcast clouds
6,Fortuna,US,40.5982,-124.1573,81.19,60,1,8.01,clear sky
7,Port-Cartier,CA,50.0334,-66.8654,60.75,80,53,5.06,broken clouds
8,Fairbanks,US,64.8378,-147.7164,67.3,79,90,1.01,light rain
9,Pangnirtung,CA,66.1451,-65.7125,39.24,91,100,1.34,overcast clouds
10,Opelousas,US,30.5335,-92.0815,80.49,60,1,0.0,clear sky
11,Hilo,US,19.7297,-155.09,76.8,92,99,9.93,light rain
12,Hamilton,US,39.1834,-84.5333,76.77,75,1,0.0,clear sky
13,Malartic,CA,48.1335,-78.1328,67.82,91,100,9.26,overcast clouds
14,Hay River,CA,60.8156,-115.7999,60.64,76,99,6.78,overcast clouds
15,Kodiak,US,57.79,-152.4072,58.51,82,90,3.44,overcast clouds
16,Pleasanton,US,37.6624,-121.8747,92.98,52,1,9.22,haze
17,Redlands,US,34.0556,-117.1825,99.68,39,1,3.0,clear sky
18,Kapaa,US,22.0752,-159.319,84.52,68,75,3.0,broken clouds
19,Port Townsend,US,48.117,-122.7605,74.01,68,40,10.0,scattered clouds
20,Springville,US,40.1652,-111.6107,78.67,30,90,1.01,haze
21,Thompson,CA,55.7435,-97.8558,62.17,71,17,5.26,few clouds
22,Clyde River,CA,70.4692,-68.5914,35.83,93,90,9.22,mist
23,Fort Nelson,CA,58.8053,-122.7002,61.54,91,100,6.64,overcast clouds
24,Homer,US,59.6425,-151.5483,68.07,86,1,10.36,clear sky
25,Kahului,US,20.8947,-156.47,85.26,64,20,25.32,few clouds
26,Superior,US,46.7208,-92.1041,69.62,87,1,5.75,clear sky
27,Flin Flon,CA,54.7682,-101.865,68.9,63,16,10.47,few clouds
28,Tupelo,US,34.2576,-88.7034,75.49,83,40,0.0,scattered clouds
29,Eureka,US,40.8021,-124.1637,71.13,80,77,5.01,broken clouds
30,Sooke,CA,48.3746,-123.7276,64.92,59,100,8.79,overcast clouds
31,Glendive,US,47.1053,-104.7125,80.22,57,75,12.66,broken clouds
32,Ketchikan,US,55.3422,-131.6461,59.22,85,78,6.2,light rain
33,East Millcreek,US,40.7,-111.8105,78.08,36,40,1.99,haze
34,Lincoln,US,40.8,-96.667,85.28,59,1,4.0,clear sky
35,Yellowknife,CA,62.456,-114.3525,68.29,56,100,2.37,overcast clouds
36,Sioux Lookout,CA,50.1001,-91.917,60.17,58,100,3.76,overcast clouds
37,Chapais,CA,49.7834,-74.8492,62.38,92,100,11.97,overcast clouds
38,Half Moon Bay,US,37.4636,-122.4286,89.42,79,1,1.01,haze
39,Invermere,CA,50.5167,-116.0354,77.63,35,100,2.75,overcast clouds
40,North Bend,US,43.4065,-124.2243,78.24,94,90,12.66,overcast clouds
41,Slave Lake,CA,55.2834,-114.769,61.7,64,92,4.5,overcast clouds
42,Meridian,US,43.6121,-116.3915,83.32,39,1,3.44,clear sky
43,Burns Lake,CA,54.2331,-125.7533,61.29,46,45,11.7,scattered clouds
44,Moose Factory,CA,51.2585,-80.6094,44.51,82,7,2.1,clear sky
45,Sept-Iles,CA,50.2001,-66.3821,61.05,92,66,1.99,broken clouds
46,Sitka,US,57.0531,-135.33,60.69,82,75,0.0,light rain
47,Bethel,US,41.3712,-73.414,75.56,76,1,8.05,clear sky
48,Coos Bay,US,43.3665,-124.2179,87.01,94,90,12.66,overcast clouds
49,Lompoc,US,34.6391,-120.4579,77.77,83,1,10.36,mist
50,Fort Saint James,CA,54.4333,-124.25,64.74,40,86,10.4,overcast clouds
51,Batesville,US,35.7698,-91.641,79.21,67,1,3.44,clear sky
52,Iqaluit,CA,63.7506,-68.5145,42.53,81,90,4.61,light rain
